Y,E1,E2,E3,E4,E5,E6,E7,E8,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30
113.2935166,4.748696022,5.26742521,3.891047849,5.128065245,5.396511706,5.899285799,4.397236585,5.063769333,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
110.0297809,3.633477554,7.173761759,5.396029734,5.921214755,4.709163374,5.213609052,6.029772121,5.473373789,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0
128.9818293,5.349101128,3.997070107,6.994542244,5.290126047,5.368308958,5.214651407,5.487876517,4.525894186,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
104.4864599,5.213334685,4.219560768,4.525401558,5.691548271,3.712195035,3.514209051,4.854313673,4.273026181,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
94.54430306,4.280608067,3.646096829,5.422873491,5.749391187,4.022538109,4.930214965,4.612293626,4.368229566,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0
87.33373559,5.414044955,5.111952279,5.8749617,6.006690742,5.25325326,4.686948601,6.288193142,4.907195788,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0
130.6701959,4.506049536,6.534985492,4.730926369,5.438866873,4.133325398,7.674337274,5.202286153,5.036455784,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1
77.63936546,6.373744682,5.092975918,4.796490485,4.645868416,3.016999717,6.035975867,4.392118388,3.759656738,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0
79.90633253,4.427916122,4.301780789,5.84510962,5.033618968,5.218754179,3.516333453,6.945778751,4.395789831,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
136.4599614,6.323528001,5.744233177,5.48467731,5.258885748,4.471340052,5.787508936,5.665792751,7.483609383,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
101.4811604,6.178476048,4.027130986,5.321699757,4.207123433,5.399429131,3.376190669,5.665253218,3.769621818,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1
79.79147609,2.932992388,3.549231007,4.188471063,5.398134399,7.833010651,4.835240001,5.925830495,4.018168786,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0
122.5355478,4.722788513,6.801019811,3.434745537,4.029789737,3.809240888,5.509436412,3.58985244,3.278344449,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1
119.9610622,3.319834774,4.419201857,4.550272225,4.828023793,3.054454734,7.517982089,5.047940695,4.641548566,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0
86.5906333,4.551141104,4.824770214,5.698398663,5.205759322,3.978704575,5.936800582,5.359085965,3.764508928,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0
122.9360901,6.027338893,5.594277915,5.482683689,3.103533001,3.283014631,6.328306102,5.712963893,5.153220265,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0
125.348384,4.8485019,5.881931356,5.298337932,4.64561399,5.800140939,2.816971988,6.301818565,6.522573378,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0
132.4196796,3.456683066,4.734386683,3.55979414,6.889477329,5.679690442,5.652479033,3.977832653,6.792531722,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1
90.06961131,4.49083944,3.537949362,3.926902876,5.662383519,4.148722181,4.218397698,5.407053584,4.137292032,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
116.5039356,5.248900478,5.071438972,5.090933618,4.549302868,4.095941596,4.810363761,4.467894319,3.471616718,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
140.0120414,5.460513729,4.356098116,6.698011031,4.761500113,5.766050626,5.719401116,4.453416291,6.044638943,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0
114.3814391,5.604160458,4.545958969,3.782603483,6.421312307,5.184516191,4.376544992,5.349053164,4.914146516,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
149.4505931,6.766737359,3.936778904,3.232520579,4.045417953,4.342539405,4.95956868,4.459942386,4.810268102,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
113.8441247,3.820748259,6.139303637,2.783533995,4.758323697,3.529009275,5.570452686,5.461887156,6.909249605,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
106.737646,5.722820519,7.365453148,3.611351908,6.376761747,5.923534144,4.74595138,6.343247559,4.015717699,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
